SalesChannel,WarehouseCode,OrderDate,ShipDate,DeliveryDate,SalesRegion,CustomerName,StoreLocation,ProductName,OrderQuantity,DiscountApplied,UnitPrice,UnitCost
In-Store,WARE-PUJ1005,2018-06-01,2018-06-22,2018-07-02,Northeast,O.E. Ltd,Texas,Floor Lamps,5,0.05,1051.9,641.659
In-Store,WARE-PUJ1005,2018-06-01,2018-06-07,2018-06-15,West,Pure Group,Oregon,Vases,6,0.15,254.6,216.41
In-Store,WARE-NMK1003,2018-06-01,2018-06-15,2018-06-20,Midwest,OHTA'S Corp,Florida,Computers,6,0.15,3932.9,3146.32
In-Store,WARE-MKL1006,2018-06-01,2018-06-24,2018-07-02,South,Apollo Ltd,Virginia,TV and video,3,0.05,1112.2,700.686
In-Store,WARE-PUJ1005,2018-06-01,2018-06-19,2018-06-27,Midwest,21st Ltd,Texas,Computers,3,0.075,1239.5,904.835
In-Store,WARE-XYS1001,2018-06-01,2018-06-06,2018-06-14,West,S.S.S. Group,California,Table Lamps,4,0.1,984.9,393.96
In-Store,WARE-MKL1006,2018-06-01,2018-06-07,2018-06-15,South,Procter Corp,Virginia,Bar Tools,4,0.1,5581.1,4130.014
Online,WARE-NMK1003,2018-06-01,2018-06-11,2018-06-17,Midwest,E. Ltd,Florida,Wall Frames,4,0.05,3095.4,1795.332
Wholesale,WARE-NMK1003,2018-06-01,2018-06-18,2018-06-20,South,U.S. Ltd,Indiana,Outdoor Decor,4,0.4,2278,1754.06
In-Store,WARE-PUJ1005,2018-06-02,2018-06-10,2018-06-16,Northeast,Linde ,Ohio,Cookware,7,0.075,991.6,654.456
In-Store,WARE-XYS1001,2018-06-02,2018-06-26,2018-06-28,Midwest,Select ,California,Table Linens,2,0.2,3979.8,3064.446
Distributor,WARE-UHY1004,2018-06-02,2018-06-22,2018-07-02,Midwest,Qualitest ,Michigan,Outdoor Furniture,3,0.4,1969.8,866.712
In-Store,WARE-NMK1003,2018-06-02,2018-06-16,2018-06-24,Northeast,Rochester Ltd,Illinois,Bakeware,1,0.15,268,131.32
Online,WARE-NMK1003,2018-06-02,2018-06-21,2018-07-01,South,U.S. Ltd,Connecticut,Wall Frames,7,0.1,174.2,95.81
In-Store,WARE-UHY1004,2018-06-02,2018-06-26,2018-07-06,Midwest,OHTA'S Corp,North Carolina,Sculptures,3,0.075,2988.2,2510.088
In-Store,WARE-UHY1004,2018-06-02,2018-06-20,2018-06-29,Midwest,OHTA'S Corp,North Dakota,Clocks,4,0.05,3999.9,2679.933
Distributor,WARE-NMK1003,2018-06-02,2018-06-21,2018-06-22,West,Capweld ,Colorado,Platters,3,0.05,5976.4,2450.324
In-Store,WARE-NMK1003,2018-06-02,2018-06-27,2018-06-29,West,Procter Corp,Connecticut,Vases,5,0.1,2901.1,2378.902
In-Store,WARE-PUJ1005,2018-06-03,2018-06-26,2018-07-05,West,"Apotheca, Ltd",Tennessee,Accessories,7,0.075,6076.9,2734.605
Online,WARE-PUJ1005,2018-06-03,2018-06-05,2018-06-10,West,Amylin Group,Tennessee,Mirrors,7,0.2,5735.2,4186.696
Online,WARE-UHY1004,2018-06-03,2018-06-30,2018-07-10,South,U.S. Ltd,Michigan,Dinnerware,3,0.1,3919.5,2077.335
Online,WARE-MKL1006,2018-06-03,2018-06-30,2018-07-05,Northeast,Llorens Ltd,Washington,Sculptures,1,0.05,6083.6,3832.668
Wholesale,WARE-MKL1006,2018-06-03,2018-06-14,2018-06-15,South,WakeFern ,Texas,Rugs,5,0.075,2566.1,1642.304
Distributor,WARE-NBV1002,2018-06-03,2018-06-07,2018-06-13,Northeast,Dharma Ltd,California,Wardrobes,2,0.075,2278,1093.44
In-Store,WARE-UHY1004,2018-06-03,2018-06-14,2018-06-21,Midwest,U.S. Ltd,Nevada,Cookware,1,0.075,261.3,120.198
Online,WARE-MKL1006,2018-06-03,2018-06-28,2018-07-08,Midwest,Capweld ,Washington,Furniture Cushions,8,0.05,998.3,698.81
In-Store,WARE-NMK1003,2018-06-03,2018-06-13,2018-06-21,Northeast,OUR Ltd,Colorado,Rugs,6,0.2,3497.4,1958.544
In-Store,WARE-NMK1003,2018-06-03,2018-06-18,2018-06-28,Midwest,Mylan Corp,Kansas,TV and video,4,0.05,1132.3,486.889
In-Store,WARE-XYS1001,2018-06-03,2018-06-15,2018-06-17,Midwest,Mylan Corp,California,Photo Frames,7,0.05,2405.3,1587.498
Distributor,WARE-MKL1006,2018-06-03,2018-06-24,2018-07-03,Midwest,Burt's Corp,Wisconsin,Table Lamps,8,0.05,5701.7,3249.969
Distributor,WARE-UHY1004,2018-06-04,2018-06-09,2018-06-16,South,Eminence Corp,New Mexico,Bedroom Furniture,1,0.2,2452.2,1446.798
In-Store,WARE-XYS1001,2018-06-04,2018-06-30,2018-07-04,South,Ohio ,Arizona,Ornaments,3,0.05,3095.4,2012.01
Online,WARE-UHY1004,2018-06-04,2018-06-12,2018-06-14,Midwest,Linde ,Maryland,Cocktail Glasses,4,0.4,3865.9,2164.904
Distributor,WARE-XYS1001,2018-06-04,2018-06-10,2018-06-15,Midwest,"Elorac, Corp",California,Ornaments,8,0.1,2304.8,1382.88
Online,WARE-XYS1001,2018-06-04,2018-06-21,2018-06-24,Northeast,Ole Group,California,Table Linens,3,0.05,3195.9,1470.114
Online,WARE-PUJ1005,2018-06-04,2018-06-19,2018-06-26,South,Bare ,Pennsylvania,Outdoor Decor,7,0.05,6452.1,5161.68
Distributor,WARE-NMK1003,2018-06-05,2018-06-14,2018-06-17,Midwest,ETUDE Ltd,Connecticut,Stemware,3,0.3,2003.3,921.518
Distributor,WARE-XYS1001,2018-06-05,2018-06-28,2018-07-07,Midwest,Pacific Ltd,California,Cocktail Glasses,8,0.05,3638.1,1455.24
In-Store,WARE-NMK1003,2018-06-05,2018-06-14,2018-06-17,Northeast,Qualitest ,Connecticut,Pillows,3,0.075,2278,1822.4
Online,WARE-NMK1003,2018-06-05,2018-06-25,2018-06-29,West,Prasco Group,Georgia,Wine Storage,6,0.3,924.6,582.498
Online,WARE-NMK1003,2018-06-05,2018-06-21,2018-07-01,South,Medsep Group,Connecticut,Stemware,5,0.05,3926.2,3062.436
Distributor,WARE-MKL1006,2018-06-05,2018-06-12,2018-06-18,Midwest,Burt's Corp,Virginia,TV and video,4,0.075,3825.7,2257.163
Wholesale,WARE-MKL1006,2018-06-05,2018-07-03,2018-07-08,Northeast,Ole Group,Washington,Serveware,3,0.05,2257.9,1377.319
Distributor,WARE-NMK1003,2018-06-06,2018-07-02,2018-07-08,Midwest,OHTA'S Corp,Iowa,Outdoor Decor,8,0.075,1112.2,756.296
Online,WARE-NMK1003,2018-06-06,2018-06-22,2018-06-23,South,Dharma Ltd,Connecticut,Home Fragrances,8,0.05,3557.7,1814.427
Online,WARE-NBV1002,2018-06-06,2018-06-09,2018-06-12,West,Medsep Group,California,Home Fragrances,3,0.4,2371.8,1233.336
Online,WARE-NBV1002,2018-06-06,2018-07-01,2018-07-04,Midwest,Niconovum Corp,California,Cookware,1,0.4,857.6,686.08
In-Store,WARE-UHY1004,2018-06-07,2018-06-14,2018-06-16,South,Trigen ,North Dakota,Bar Tools,5,0.3,3892.7,2880.598
In-Store,WARE-NMK1003,2018-06-07,2018-06-13,2018-06-15,West,Mylan Corp,Illinois,Floral,6,0.075,3477.3,1390.92
Online,WARE-NMK1003,2018-06-07,2018-06-11,2018-06-21,West,Pacific Ltd,Illinois,Pillows,5,0.1,3738.6,2803.95
Online,WARE-PUJ1005,2018-06-07,2018-06-10,2018-06-13,West,"PEDIFIX, Corp",New York,Cocktail Glasses,5,0.3,1072,589.6
In-Store,WARE-NMK1003,2018-06-07,2018-07-01,2018-07-02,South,Select ,Florida,Sculptures,7,0.05,2257.9,1761.162
Online,WARE-UHY1004,2018-06-07,2018-06-11,2018-06-13,South,E. Ltd,North Carolina,Sculptures,3,0.1,1058.6,751.606
Online,WARE-NBV1002,2018-06-07,2018-06-15,2018-06-25,West,Ascend Ltd,California,Floor Lamps,4,0.1,2492.4,1296.048
In-Store,WARE-NBV1002,2018-06-07,2018-06-13,2018-06-21,Northeast,S.S.S. Group,California,Ornaments,5,0.05,3852.5,2465.6
Distributor,WARE-UHY1004,2018-06-08,2018-06-19,2018-06-25,Midwest,Llorens Ltd,Michigan,Platters,8,0.05,241.2,132.66
In-Store,WARE-XYS1001,2018-06-08,2018-06-11,2018-06-17,Midwest,Avon Corp,California,Table Linens,2,0.15,1051.9,494.393
Distributor,WARE-NMK1003,2018-06-08,2018-06-14,2018-06-19,South,Apollo Ltd,Illinois,Blankets,5,0.3,227.8,107.066
Distributor,WARE-MKL1006,2018-06-08,2018-06-14,2018-06-15,Midwest,ETUDE Ltd,Texas,Mirrors,5,0.05,1078.7,506.989
Wholesale,WARE-NMK1003,2018-06-08,2018-06-13,2018-06-20,West,"PEDIFIX, Corp",Colorado,Blankets,8,0.15,1005,743.7
Distributor,WARE-PUJ1005,2018-06-08,2018-07-03,2018-07-09,Midwest,Pure Group,Oregon,Home Fragrances,5,0.05,2485.7,1317.421
In-Store,WARE-NMK1003,2018-06-08,2018-06-30,2018-07-06,West,New Ltd,Georgia,Wine Storage,3,0.05,2659.9,2154.519
In-Store,WARE-NMK1003,2018-06-09,2018-06-28,2018-07-03,Northeast,Avon Corp,Connecticut,Cookware,1,0.075,2224.4,1579.324
In-Store,WARE-MKL1006,2018-06-09,2018-06-12,2018-06-16,South,Wuxi Group,Texas,Table Linens,7,0.2,2472.3,1260.873
In-Store,WARE-UHY1004,2018-06-09,2018-06-23,2018-06-24,South,Trigen ,North Carolina,Outdoor Furniture,5,0.05,1011.7,799.243
Wholesale,WARE-UHY1004,2018-06-09,2018-07-05,2018-07-13,South,Dharma Ltd,North Carolina,Phones,6,0.2,234.5,128.975
Online,WARE-NMK1003,2018-06-09,2018-06-14,2018-06-17,West,Llorens Ltd,Illinois,Ornaments,4,0.075,261.3,143.715
Online,WARE-XYS1001,2018-06-09,2018-06-27,2018-07-01,South,Procter Corp,California,Pendants,7,0.1,4006.6,2844.686
In-Store,WARE-UHY1004,2018-06-09,2018-07-05,2018-07-13,West,21st Ltd,Massachusetts,Phones,7,0.05,1333.3,866.645
In-Store,WARE-UHY1004,2018-06-10,2018-07-07,2018-07-09,West,OUR Ltd,Nevada,Outdoor Furniture,5,0.05,167.5,90.45
Online,WARE-MKL1006,2018-06-10,2018-06-28,2018-07-02,Midwest,E. Ltd,Texas,Wreaths,7,0.075,3195.9,1821.663
Online,WARE-PUJ1005,2018-06-10,2018-06-30,2018-07-05,West,Eminence Corp,Texas,Outdoor Furniture,1,0.05,1051.9,809.963
Online,WARE-XYS1001,2018-06-10,2018-06-30,2018-07-03,Midwest,Medsep Group,Arizona,Phones,4,0.1,5447.1,3540.615
Online,WARE-NMK1003,2018-06-10,2018-06-16,2018-06-24,West,O.E. Ltd,Kentucky,Basketball,2,0.075,3182.5,1973.15
In-Store,WARE-MKL1006,2018-06-11,2018-06-29,2018-07-01,Northeast,Niconovum Corp,Texas,Wall Coverings,3,0.1,891.1,632.681
Online,WARE-NMK1003,2018-06-11,2018-06-16,2018-06-19,Midwest,Wuxi Group,Illinois,Candleholders,2,0.2,3892.7,2724.89
Online,WARE-UHY1004,2018-06-11,2018-06-13,2018-06-16,West,Procter Corp,New Mexico,Cocktail Glasses,2,0.4,3953,3360.05
Online,WARE-NMK1003,2018-06-11,2018-06-28,2018-07-07,West,Ascend Ltd,Indiana,Bathroom Furniture,2,0.3,924.6,545.514
Online,WARE-NMK1003,2018-06-11,2018-07-07,2018-07-08,West,Ohio ,Indiana,Blankets,7,0.3,3430.4,1989.632
Distributor,WARE-NMK1003,2018-06-11,2018-06-28,2018-07-06,Northeast,Burt's Corp,Illinois,Festive,7,0.075,1152.4,622.296
Distributor,WARE-NMK1003,2018-06-11,2018-06-21,2018-06-24,Midwest,Prasco Group,Florida,Platters,4,0.1,1085.4,922.59
In-Store,WARE-NMK1003,2018-06-12,2018-06-16,2018-06-22,South,Apollo Ltd,Iowa,Outdoor Furniture,5,0.1,5031.7,4025.36
Distributor,WARE-NMK1003,2018-06-12,2018-06-28,2018-07-03,Midwest,Pure Group,Colorado,Outdoor Decor,7,0.15,1092.1,436.84
Wholesale,WARE-XYS1001,2018-06-12,2018-06-25,2018-06-27,Northeast,Procter Corp,California,Furniture Cushions,7,0.05,187.6,144.452
Online,WARE-NMK1003,2018-06-12,2018-07-09,2018-07-16,South,S.S.S. Group,Colorado,Cookware,4,0.05,3993.2,2835.172
Online,WARE-MKL1006,2018-06-12,2018-06-15,2018-06-18,Midwest,Ei ,Washington,Outdoor Furniture,5,0.05,2472.3,1433.934
In-Store,WARE-XYS1001,2018-06-12,2018-07-05,2018-07-14,Northeast,Niconovum Corp,California,Audio,4,0.05,1206,844.2
Online,WARE-NMK1003,2018-06-12,2018-06-22,2018-06-29,West,Procter Corp,Georgia,Rugs,5,0.05,1728.6,985.302
Wholesale,WARE-NMK1003,2018-06-12,2018-06-20,2018-06-29,West,E. Ltd,Florida,Accessories,7,0.075,1983.2,1447.736
Online,WARE-NMK1003,2018-06-12,2018-07-10,2018-07-14,West,Linde ,Illinois,Ornaments,2,0.2,5313.1,2656.55
Distributor,WARE-XYS1001,2018-06-12,2018-06-17,2018-06-25,West,Winthrop ,California,Accessories,5,0.075,871,566.15
Online,WARE-NMK1003,2018-06-13,2018-06-27,2018-07-01,Midwest,Ascend Ltd,Illinois,Festive,2,0.1,2532.6,2051.406
Online,WARE-NMK1003,2018-06-13,2018-06-25,2018-06-26,Midwest,Linde ,Colorado,Cookware,4,0.075,5916.1,4673.719
Online,WARE-UHY1004,2018-06-13,2018-06-23,2018-07-01,West,OUR Ltd,North Carolina,Candleholders,1,0.075,2887.7,1443.85
In-Store,WARE-NMK1003,2018-06-13,2018-06-20,2018-06-22,Northeast,Ole Group,Kentucky,Ornaments,7,0.1,1855.9,1447.602
In-Store,WARE-XYS1001,2018-06-13,2018-06-17,2018-06-19,Northeast,Procter Corp,California,Floor Lamps,5,0.1,207.7,135.005
In-Store,WARE-MKL1006,2018-06-13,2018-06-29,2018-07-06,Northeast,WakeFern ,Utah,Table Lamps,3,0.05,1058.6,772.778
Online,WARE-UHY1004,2018-06-13,2018-07-03,2018-07-13,West,Pure Group,New Hampshire,Bar Tools,7,0.1,958.1,517.374
In-Store,WARE-NMK1003,2018-06-13,2018-07-08,2018-07-18,Northeast,Select ,Indiana,Wreaths,7,0.2,2659.9,1675.737
In-Store,WARE-NMK1003,2018-06-13,2018-07-05,2018-07-13,Midwest,Rochester Ltd,Georgia,Cocktail Glasses,3,0.1,2217.7,1707.629
Online,WARE-XYS1001,2018-06-14,2018-06-17,2018-06-20,West,Medline ,California,Ornaments,1,0.3,1715.2,857.6
In-Store,WARE-PUJ1005,2018-06-14,2018-07-06,2018-07-09,Northeast,Prasco Group,Oregon,Vases,7,0.15,3932.9,1691.147
In-Store,WARE-NMK1003,2018-06-14,2018-06-19,2018-06-20,Northeast,Ole Group,Illinois,Rugs,2,0.05,2546,1909.5
Online,WARE-PUJ1005,2018-06-14,2018-06-26,2018-07-01,Midwest,Eminence Corp,New York,Floral,1,0.075,837.5,603
Online,WARE-UHY1004,2018-06-14,2018-06-26,2018-07-05,West,"Elorac, Corp",Minnesota,Dining Furniture,3,0.15,1809,1302.48
Wholesale,WARE-PUJ1005,2018-06-14,2018-06-29,2018-07-03,South,Prasco Group,Tennessee,Ornaments,8,0.075,857.6,514.56
In-Store,WARE-XYS1001,2018-06-14,2018-06-30,2018-07-07,West,Apollo Ltd,Arizona,Wine Storage,6,0.05,1748.7,1101.681
Wholesale,WARE-NBV1002,2018-06-14,2018-06-16,2018-06-17,West,Winthrop ,California,Serveware,1,0.075,1266.3,582.498
In-Store,WARE-XYS1001,2018-06-14,2018-06-16,2018-06-22,West,S.S.S. Group,California,Baseball,5,0.1,5058.5,3591.535
Distributor,WARE-XYS1001,2018-06-14,2018-06-28,2018-07-06,Northeast,Ascend Ltd,California,Computers,7,0.05,958.1,795.223
Online,WARE-NMK1003,2018-06-14,2018-07-10,2018-07-14,South,Niconovum Corp,Florida,Photo Frames,8,0.15,1802.3,756.966
In-Store,WARE-XYS1001,2018-06-15,2018-07-07,2018-07-16,Northeast,Pure Group,California,Vases,4,0.075,6298,4534.56
Online,WARE-XYS1001,2018-06-15,2018-07-02,2018-07-06,South,Dharma Ltd,Alabama,Wall Coverings,1,0.1,2499.1,1824.343
In-Store,WARE-NMK1003,2018-06-15,2018-06-19,2018-06-23,West,Procter Corp,Kansas,Accessories,3,0.1,871,705.51
In-Store,WARE-UHY1004,2018-06-15,2018-07-12,2018-07-18,Northeast,OHTA'S Corp,New Jersey,Bathroom Furniture,1,0.05,750.4,360.192
Wholesale,WARE-NMK1003,2018-06-15,2018-06-23,2018-06-27,Northeast,Ohio ,Kentucky,Mirrors,8,0.075,763.8,504.108
In-Store,WARE-PUJ1005,2018-06-15,2018-06-26,2018-07-02,South,Bare ,Tennessee,TV and video,6,0.1,844.2,565.614
In-Store,WARE-XYS1001,2018-06-15,2018-07-05,2018-07-14,Northeast,"PEDIFIX, Corp",California,Wreaths,7,0.05,261.3,112.359
Online,WARE-NBV1002,2018-06-15,2018-07-06,2018-07-16,South,Niconovum Corp,California,Outdoor Decor,2,0.05,3999.9,2359.941
In-Store,WARE-UHY1004,2018-06-15,2018-06-25,2018-07-03,Northeast,OHTA'S Corp,Nevada,Basketball,6,0.05,1112.2,811.906
In-Store,WARE-NMK1003,2018-06-15,2018-06-26,2018-07-04,West,Eminence Corp,Illinois,Photo Frames,2,0.075,2633.1,1843.17
Distributor,WARE-NMK1003,2018-06-15,2018-07-09,2018-07-13,Northeast,Medsep Group,Florida,Serveware,6,0.2,1018.4,631.408
In-Store,WARE-XYS1001,2018-06-15,2018-06-27,2018-06-30,Northeast,Burt's Corp,California,Floral,4,0.15,5219.3,3444.738
Distributor,WARE-UHY1004,2018-06-15,2018-07-13,2018-07-20,Midwest,Apollo Ltd,New York,Candles,1,0.15,3999.9,2359.941
Online,WARE-MKL1006,2018-06-16,2018-06-27,2018-07-01,West,Sundial ,Texas,TV and video,5,0.4,1721.9,1084.797
In-Store,WARE-NMK1003,2018-06-16,2018-07-05,2018-07-12,West,New Ltd,Kansas,Platters,6,0.15,737,456.94
Online,WARE-XYS1001,2018-06-16,2018-07-07,2018-07-15,South,WakeFern ,California,Rugs,3,0.05,1219.4,695.058
In-Store,WARE-PUJ1005,2018-06-16,2018-07-12,2018-07-17,Northeast,Eminence Corp,Ohio,Collectibles,8,0.05,891.1,712.88
In-Store,WARE-NMK1003,2018-06-16,2018-07-14,2018-07-18,Midwest,Dharma Ltd,Iowa,Baseball,1,0.15,978.2,743.432
In-Store,WARE-NMK1003,2018-06-16,2018-07-01,2018-07-10,South,Niconovum Corp,Illinois,Furniture Cushions,1,0.15,3946.3,1657.446
In-Store,WARE-NMK1003,2018-06-16,2018-07-05,2018-07-06,West,Wuxi Group,Indiana,Wardrobes,2,0.4,1299.8,922.858
Online,WARE-NBV1002,2018-06-17,2018-07-14,2018-07-24,South,Ohio ,California,Dining Furniture,4,0.05,5815.6,2791.488
In-Store,WARE-NMK1003,2018-06-17,2018-07-08,2018-07-10,West,"Exact-Rx, Corp",Florida,Accessories,6,0.15,1092.1,655.26
Distributor,WARE-XYS1001,2018-06-17,2018-07-10,2018-07-17,Midwest,Llorens Ltd,California,Basketball,6,0.15,1072,643.2
Online,WARE-UHY1004,2018-06-17,2018-07-08,2018-07-09,Northeast,OUR Ltd,Michigan,Stemware,5,0.05,4020,2653.2
Online,WARE-NBV1002,2018-06-17,2018-07-10,2018-07-15,West,AuroMedics Corp,California,Dining Furniture,4,0.15,984.9,669.732
Distributor,WARE-MKL1006,2018-06-17,2018-07-02,2018-07-04,Midwest,Sundial ,Texas,Dinnerware,7,0.05,227.8,100.232
In-Store,WARE-XYS1001,2018-06-17,2018-06-23,2018-06-26,West,Pure Group,California,Table Linens,3,0.15,3993.2,3314.356
Online,WARE-NMK1003,2018-06-17,2018-06-29,2018-07-08,Midwest,Prasco Group,Illinois,Candles,4,0.075,221.1,185.724
Online,WARE-NMK1003,2018-06-18,2018-07-04,2018-07-14,Midwest,Ohio ,Colorado,Festive,6,0.075,3356.7,2819.628
In-Store,WARE-PUJ1005,2018-06-18,2018-07-09,2018-07-15,Northeast,Amylin Group,Texas,Dining Furniture,1,0.05,1701.8,1157.224
In-Store,WARE-PUJ1005,2018-06-18,2018-07-08,2018-07-09,West,Ei ,New York,Cocktail Glasses,3,0.15,2566.1,2181.185
In-Store,WARE-NMK1003,2018-06-18,2018-06-22,2018-06-26,Northeast,Capweld ,Colorado,Bathroom Furniture,4,0.05,221.1,126.027
In-Store,WARE-UHY1004,2018-06-18,2018-06-30,2018-07-05,South,Dharma Ltd,New Mexico,Serveware,1,0.1,1782.2,980.21
Distributor,WARE-NMK1003,2018-06-18,2018-07-15,2018-07-16,Midwest,Weimei Corp,Colorado,Table Linens,8,0.05,2003.3,801.32
Distributor,WARE-XYS1001,2018-06-18,2018-07-09,2018-07-16,West,Dharma Ltd,California,Bathroom Furniture,5,0.075,2385.2,1502.676
Online,WARE-XYS1001,2018-06-18,2018-07-11,2018-07-17,West,Capweld ,Arizona,Floral,1,0.1,2231.1,1784.88
In-Store,WARE-NMK1003,2018-06-18,2018-07-02,2018-07-07,West,Mylan Corp,Florida,Table Linens,1,0.05,1005,412.05
Distributor,WARE-PUJ1005,2018-06-18,2018-07-12,2018-07-19,Midwest,Medline ,Oregon,Rugs,7,0.05,2693.4,1939.248
Online,WARE-NMK1003,2018-06-18,2018-07-10,2018-07-11,Northeast,Uriel Group,Connecticut,Clocks,4,0.075,1105.5,652.245
Online,WARE-NBV1002,2018-06-19,2018-07-10,2018-07-17,Northeast,Prasco Group,California,Floor Lamps,1,0.075,1909.5,1088.415
Distributor,WARE-NMK1003,2018-06-19,2018-06-21,2018-06-26,Midwest,Amylin Group,Illinois,Wardrobes,7,0.2,1118.9,850.364
In-Store,WARE-NMK1003,2018-06-19,2018-06-28,2018-07-03,South,Nipro ,Colorado,Cocktail Glasses,7,0.2,1038.5,758.105
In-Store,WARE-NMK1003,2018-06-19,2018-06-28,2018-07-04,Northeast,Qualitest ,Florida,Vanities,6,0.05,6324.8,4300.864
In-Store,WARE-XYS1001,2018-06-19,2018-06-27,2018-07-01,West,"3LAB, Ltd",California,Baseball,7,0.2,1005,502.5
In-Store,WARE-NMK1003,2018-06-19,2018-07-14,2018-07-17,West,Rochester Ltd,Illinois,Photo Frames,5,0.075,1293.1,659.481
In-Store,WARE-NBV1002,2018-06-19,2018-07-16,2018-07-26,Northeast,Medsep Group,California,Clocks,6,0.4,844.2,540.288
In-Store,WARE-PUJ1005,2018-06-19,2018-07-07,2018-07-14,Northeast,Wuxi Group,Texas,Cookware,4,0.05,247.9,195.841
Distributor,WARE-UHY1004,2018-06-19,2018-06-26,2018-06-28,Midwest,Medline ,Michigan,Floral,7,0.3,174.2,139.36
In-Store,WARE-PUJ1005,2018-06-20,2018-07-11,2018-07-17,Northeast,S.S.S. Group,Ohio,Dining Furniture,6,0.1,1025.1,707.319
Distributor,WARE-MKL1006,2018-06-20,2018-07-01,2018-07-06,Midwest,Qualitest ,Texas,Accessories,3,0.15,3068.6,2301.45
Online,WARE-NMK1003,2018-06-20,2018-07-09,2018-07-11,West,Winthrop ,Florida,Table Lamps,2,0.075,241.2,115.776
In-Store,WARE-NMK1003,2018-06-20,2018-07-12,2018-07-17,South,Burt's Corp,Kentucky,Audio,1,0.2,174.2,139.36
In-Store,WARE-XYS1001,2018-06-20,2018-07-03,2018-07-13,West,21st Ltd,California,Platters,2,0.2,2505.8,1804.176
Distributor,WARE-UHY1004,2018-06-20,2018-07-17,2018-07-20,South,Amylin Group,North Carolina,Candleholders,7,0.15,2599.6,1637.748
Online,WARE-NMK1003,2018-06-20,2018-06-24,2018-06-28,South,Ascend Ltd,Illinois,Phones,6,0.15,2278,1503.48
Distributor,WARE-MKL1006,2018-06-21,2018-07-13,2018-07-21,Midwest,Uriel Group,Virginia,TV and video,2,0.075,1092.1,589.734
Wholesale,WARE-XYS1001,2018-06-21,2018-07-04,2018-07-07,South,Select ,California,Dinnerware,5,0.2,1139,933.98
In-Store,WARE-MKL1006,2018-06-21,2018-07-02,2018-07-10,Northeast,Ei ,Texas,Audio,2,0.15,1675,1072
Wholesale,WARE-UHY1004,2018-06-21,2018-06-29,2018-07-02,South,Weimei Corp,Montana,Candles,2,0.05,1011.7,687.956
Wholesale,WARE-NMK1003,2018-06-21,2018-07-16,2018-07-21,Northeast,Apollo Ltd,Florida,Sculptures,7,0.1,938,412.72
Wholesale,WARE-XYS1001,2018-06-21,2018-07-16,2018-07-26,West,"Fenwal, Corp",California,Photo Frames,8,0.05,2566.1,1052.101
Distributor,WARE-NMK1003,2018-06-22,2018-07-16,2018-07-24,Midwest,ETUDE Ltd,Illinois,Outdoor Decor,5,0.1,871,374.53
In-Store,WARE-NBV1002,2018-06-22,2018-07-17,2018-07-21,Northeast,ETUDE Ltd,California,Basketball,1,0.1,2485.7,1789.704
In-Store,WARE-MKL1006,2018-06-22,2018-07-13,2018-07-17,Northeast,Select ,Wisconsin,Collectibles,4,0.4,2345,1922.9
Online,WARE-XYS1001,2018-06-22,2018-07-12,2018-07-21,Midwest,Qualitest ,California,Wreaths,2,0.05,1118.9,749.663
In-Store,WARE-XYS1001,2018-06-22,2018-06-25,2018-07-02,South,Burt's Corp,Arizona,Bean Bags,4,0.1,1996.6,1397.62
In-Store,WARE-NMK1003,2018-06-22,2018-07-10,2018-07-20,South,"PEDIFIX, Corp",Florida,Floor Lamps,1,0.075,710.2,390.61
